time,start of the ball,single_player,commentators,interviews,crowd,field_view,playergathering,others
0s,0,0,0,0,0,0,0,1
1s,1,0,0,0,0,0,0,0
2s,0,0,0,0,0,0,0,1
3s,0,0,0,0,0,1,0,0
4s,0,0,0,0,0,1,0,0
5s,1,0,0,0,0,0,0,0
6s,1,0,0,0,0,0,0,0
7s,1,0,0,0,0,0,0,0
8s,1,0,0,0,0,0,0,0
9s,0,0,0,0,0,0,0,1
10s,0,0,0,0,0,0,0,1
11s,0,0,0,0,0,0,0,1
12s,0,0,0,0,0,0,0,1
26s,0,1,0,0,0,0,0,0
27s,0,0,0,0,0,0,1,0
28s,0,0,0,0,0,0,1,0
29s,0,0,0,0,0,0,0,1
30s,0,0,0,0,0,0,0,1
31s,0,0,0,0,0,0,0,1
32s,0,0,0,0,0,0,0,1
33s,0,0,0,0,0,1,0,0
34s,0,0,0,0,0,1,0,0
35s,1,0,0,0,0,0,0,0
36s,0,0,0,0,0,0,0,1
37s,0,0,0,0,0,1,0,0
38s,0,0,0,0,0,1,0,0
39s,0,0,0,0,0,1,0,0
40s,0,0,0,0,0,1,0,0
41s,0,0,0,0,0,1,0,0
42s,1,0,0,0,0,0,0,0
43s,1,0,0,0,0,0,0,0
44s,1,0,0,0,0,0,0,0
45s,0,1,0,0,0,0,0,0
46s,0,1,0,0,0,0,0,0
47s,0,0,0,0,0,0,0,1
48s,0,1,0,0,0,0,0,0
49s,0,1,0,0,0,0,0,0
50s,0,1,0,0,0,0,0,0
51s,0,0,0,0,0,0,0,1
52s,0,0,0,0,0,0,0,1
53s,0,1,0,0,0,0,0,0
54s,0,1,0,0,0,0,0,0
55s,0,1,0,0,0,0,0,0
56s,0,0,0,0,0,0,0,1
57s,0,0,0,0,0,0,0,1
58s,0,0,0,0,0,0,0,1
59s,0,0,0,0,0,1,0,0
60s,0,1,0,0,0,0,0,0
61s,0,1,0,0,0,0,0,0
62s,0,0,0,0,0,0,0,1
63s,0,0,0,0,0,0,0,1
64s,0,0,0,0,0,0,0,1
65s,0,0,0,0,0,0,0,1
66s,0,0,0,0,0,1,0,0
67s,0,0,0,0,0,1,0,0
68s,0,0,0,0,0,1,0,0
69s,0,0,0,0,0,1,0,0
70s,0,0,0,0,0,1,0,0
71s,0,0,0,0,0,1,0,0
72s,0,0,0,0,0,0,0,1
73s,1,0,0,0,0,0,0,0
74s,0,0,0,0,0,0,0,1
75s,0,0,0,0,0,1,0,0
76s,0,0,0,0,0,1,0,0
77s,0,0,0,0,0,1,0,0
78s,0,0,0,0,0,1,0,0
79s,1,0,0,0,0,0,0,0
80s,1,0,0,0,0,0,0,0
81s,0,0,0,0,0,0,0,1
82s,1,0,0,0,0,0,0,0
83s,1,0,0,0,0,0,0,0
84s,1,0,0,0,0,0,0,0
85s,0,0,0,0,0,0,0,1
86s,0,0,0,0,0,0,0,1
87s,0,0,0,0,0,0,0,1
88s,0,0,0,0,0,0,0,1
89s,0,1,0,0,0,0,0,0
90s,0,1,0,0,0,0,0,0
91s,0,0,0,0,0,0,0,1
92s,0,0,0,0,0,0,0,1
93s,0,0,0,0,0,0,0,1
94s,0,0,0,0,0,0,0,1
95s,0,0,0,0,0,0,0,1
96s,0,0,0,0,0,0,0,1
97s,0,0,0,0,0,0,0,1
98s,0,0,0,0,0,0,0,1
99s,0,0,0,0,0,0,0,1
100s,0,0,0,0,0,0,0,1
101s,0,0,0,0,0,0,0,1
102s,0,0,0,0,0,0,0,1
103s,0,0,0,0,0,0,0,1
104s,0,0,0,0,0,0,0,1
105s,1,0,0,0,0,0,0,0
106s,1,0,0,0,0,0,0,0
107s,0,0,0,0,0,0,0,1
108s,0,0,0,0,0,1,0,0
109s,0,0,0,0,0,1,0,0
110s,0,0,0,0,0,1,0,0
111s,0,0,0,0,0,1,0,0
112s,1,0,0,0,0,0,0,0
113s,1,0,0,0,0,0,0,0
114s,1,0,0,0,0,0,0,0
115s,1,0,0,0,0,0,0,0
116s,0,0,0,0,0,0,0,1
117s,0,0,0,0,0,0,0,1
118s,0,0,0,0,0,0,0,1
119s,0,0,0,0,0,0,0,1
120s,0,0,0,0,0,0,0,1
121s,0,0,0,0,0,0,0,1
122s,0,0,0,0,0,0,0,1
123s,0,0,0,0,0,0,0,1
124s,0,0,0,0,0,0,0,1
125s,0,0,0,0,0,0,0,1
126s,0,0,0,0,0,0,0,1
127s,0,0,0,0,0,0,0,1
128s,0,0,0,0,0,0,0,1
129s,0,0,0,0,0,0,0,1
130s,0,0,0,0,0,0,0,1
131s,0,0,0,0,0,0,0,1
132s,0,0,0,0,0,0,0,1
133s,0,0,0,0,0,0,0,1
134s,0,0,0,0,0,0,0,1
135s,0,0,0,0,0,0,0,1
136s,0,1,0,0,0,0,0,0
137s,1,0,0,0,0,0,0,0
138s,1,0,0,0,0,0,0,0
139s,0,0,0,0,0,0,0,1
140s,0,0,0,0,0,1,0,0
141s,0,0,0,0,0,1,0,0
142s,0,0,0,0,0,0,0,1
143s,0,0,0,0,0,0,0,1
144s,0,0,0,0,0,0,0,1
145s,0,0,0,0,0,0,0,1
146s,0,0,0,0,0,0,0,1
147s,0,0,0,0,0,0,0,1
148s,0,0,0,0,0,0,0,1
149s,0,0,0,0,0,0,0,1
150s,0,0,0,0,0,0,0,1
151s,0,0,0,0,0,0,0,1
170s,0,0,0,0,0,0,0,1
171s,1,0,0,0,0,0,0,0
172s,0,0,0,0,0,0,0,1
173s,0,0,0,0,0,1,0,0
174s,0,0,0,0,0,1,0,0
175s,0,0,0,0,0,1,0,0
176s,0,0,0,0,0,1,0,0
177s,0,0,0,0,0,0,0,1
