time,start of the ball,single_player,commentators,interviews,crowd,field_view,playergathering,others
0s,0,1,0,0,0,0,0,0
1s,1,0,0,0,0,0,0,0
2s,1,0,0,0,0,0,0,0
3s,0,0,0,0,0,0,0,1
4s,0,0,0,0,1,0,0,0
5s,0,0,0,0,1,0,0,0
6s,0,0,0,0,1,0,0,0
7s,0,0,0,0,1,0,0,0
8s,0,0,0,0,1,0,0,0
9s,0,0,0,0,1,0,0,0
10s,0,0,0,0,1,0,0,0
11s,0,0,0,0,1,0,0,0
12s,0,0,0,0,1,0,0,0
13s,0,0,0,0,1,0,0,0
14s,0,1,0,0,0,0,0,0
15s,0,1,0,0,0,0,0,0
16s,0,1,0,0,0,0,0,0
17s,1,0,0,0,0,0,0,0
18s,1,0,0,0,0,0,0,0
19s,0,0,0,0,0,0,0,1
20s,0,0,0,0,0,1,0,0
21s,0,0,0,0,0,1,0,0
22s,0,0,0,0,0,1,0,0
23s,0,0,0,0,0,0,0,1
24s,0,0,0,0,0,0,0,0
25s,0,0,0,0,0,0,0,0
26s,0,1,0,0,0,0,0,0
27s,0,1,0,0,0,0,0,0
28s,0,1,0,0,0,0,0,0
29s,0,1,0,0,0,0,0,0
30s,0,1,0,0,0,0,0,0
31s,0,1,0,0,0,0,0,0
32s,0,0,0,0,1,0,0,0
33s,1,0,0,0,0,0,0,0
34s,1,0,0,0,0,0,0,0
35s,0,0,0,0,1,0,0,0
36s,0,0,0,0,1,0,0,0
37s,0,0,0,0,0,1,0,0
38s,0,0,0,0,0,1,0,0
39s,0,0,0,0,1,0,0,0
40s,0,0,0,0,1,0,0,0
41s,0,0,0,0,1,0,0,0
42s,0,1,0,0,0,0,0,0
43s,0,1,0,0,0,0,0,0
44s,0,1,0,0,0,0,0,0
45s,0,0,0,0,1,0,0,0
46s,0,1,0,0,0,0,0,0
47s,0,1,0,0,0,0,0,0
48s,0,1,0,0,0,0,0,0
49s,0,0,0,0,0,1,0,0
50s,1,0,0,0,0,0,0,0
51s,0,0,0,0,0,0,0,1
52s,0,0,0,0,0,0,0,0
53s,1,0,0,0,0,0,0,0
54s,0,0,0,0,1,0,0,0
55s,0,0,0,0,1,0,0,0
56s,0,0,0,0,1,0,0,0
57s,0,0,0,0,1,0,0,0
58s,0,0,0,0,1,0,0,0
59s,0,0,0,0,1,0,0,0
60s,0,0,0,0,1,0,0,0
61s,0,0,0,0,1,0,0,0
62s,0,0,0,0,1,0,0,0
63s,0,0,0,0,1,0,0,0
64s,0,1,0,0,0,0,0,0
65s,0,1,0,0,0,0,0,0
66s,0,1,0,0,0,0,0,0
67s,0,1,0,0,0,0,0,0
68s,1,0,0,0,0,0,0,0
69s,1,0,0,0,0,0,0,0
70s,1,0,0,0,0,0,0,0
71s,0,0,0,0,0,0,0,0
72s,0,0,0,0,1,0,0,0
73s,0,0,0,0,1,0,0,0
74s,0,0,0,0,1,0,0,0
75s,0,0,0,0,1,0,0,0
76s,0,0,0,0,1,0,0,0
77s,0,0,0,0,1,0,0,0
78s,0,0,0,0,1,0,0,0
79s,0,0,0,0,1,0,0,0
80s,0,1,0,0,0,0,0,0
81s,0,1,0,0,0,0,0,0
82s,0,1,0,0,0,0,0,0
83s,0,1,0,0,0,0,0,0
84s,0,1,0,0,0,0,0,0
85s,0,1,0,0,0,0,0,0
86s,0,1,0,0,0,0,0,0
87s,0,1,0,0,0,0,0,0
88s,0,1,0,0,0,0,0,0
89s,1,0,0,0,0,0,0,0
90s,1,0,0,0,0,0,0,0
91s,0,0,0,0,1,0,0,0
92s,0,0,0,0,1,0,0,0
93s,0,0,0,0,1,0,0,0
94s,0,0,0,0,1,0,0,0
95s,0,0,0,0,1,0,0,0
96s,0,1,0,0,0,0,0,0
97s,0,0,0,0,1,0,0,0
98s,0,1,0,0,0,0,0,0
99s,0,1,0,0,0,0,0,0
100s,0,1,0,0,0,0,0,0
101s,0,1,0,0,0,0,0,0
102s,0,1,0,0,0,0,0,0
103s,0,0,0,0,0,1,0,0
104s,0,1,0,0,0,0,0,0
