time,start of the ball,single_player,commentators,interviews,crowd,field_view,playergathering,others
0s,0,1,0,0,0,0,0,0
1s,0,1,0,0,0,0,0,0
2s,0,1,0,0,0,0,0,0
3s,0,1,0,0,0,0,0,0
4s,0,1,0,0,0,0,0,0
5s,0,1,0,0,0,0,0,0
6s,0,1,0,0,0,0,0,0
7s,0,0,0,0,0,0,0,1
8s,0,0,0,0,0,0,0,1
9s,0,0,0,0,0,0,0,1
10s,0,0,0,0,0,0,0,1
11s,0,0,0,0,0,0,0,1
12s,0,0,0,0,0,0,0,1
13s,0,0,0,0,0,0,0,1
14s,0,0,0,0,0,1,0,0
15s,0,0,0,0,0,1,0,0
16s,0,0,0,0,0,1,0,0
17s,0,1,0,0,0,0,0,0
18s,0,1,0,0,0,0,0,0
19s,0,0,0,0,0,0,0,1
20s,1,0,0,0,0,0,0,0
21s,1,0,0,0,0,0,0,0
22s,1,0,0,0,0,0,0,0
23s,0,0,0,0,0,1,0,0
24s,0,0,0,0,0,1,0,0
25s,0,0,0,0,0,1,0,0
26s,0,0,0,0,0,0,0,1
27s,0,0,0,0,0,0,0,1
28s,0,1,0,0,0,0,0,0
29s,0,1,0,0,0,0,0,0
30s,0,1,0,0,0,0,0,0
31s,0,1,0,0,0,0,0,0
32s,0,1,0,0,0,0,0,0
33s,0,0,0,0,0,0,0,1
34s,0,1,0,0,0,0,0,0
48s,0,0,0,0,0,0,0,1
49s,0,0,0,0,0,0,0,1
50s,0,0,0,0,0,0,0,1
51s,0,1,0,0,0,0,0,0
52s,0,0,0,0,0,0,0,1
53s,0,1,0,0,0,0,0,0
54s,0,1,0,0,0,0,0,0
55s,0,1,0,0,0,0,0,0
56s,1,0,0,0,0,0,0,0
57s,1,0,0,0,0,0,0,0
58s,0,0,0,0,0,0,0,1
59s,0,0,0,0,0,0,0,1
60s,0,0,0,0,0,1,0,0
61s,0,0,0,0,0,1,0,0
62s,0,0,0,0,0,1,0,0
63s,0,0,0,0,0,0,0,1
64s,0,0,0,0,0,0,0,1
65s,0,1,0,0,0,0,0,0
66s,0,1,0,0,0,0,0,0
67s,0,0,0,0,0,0,0,1
68s,0,1,0,0,0,0,0,0
69s,0,0,0,0,0,0,0,1
70s,0,1,0,0,0,0,0,0
71s,0,1,0,0,0,0,0,0
72s,0,1,0,0,0,0,0,0
120s,0,1,0,0,0,0,0,0
121s,1,0,0,0,0,0,0,0
122s,0,0,0,0,0,0,0,1
123s,0,0,0,0,0,0,0,1
124s,0,0,0,0,0,1,0,0
125s,0,0,0,0,0,1,0,0
126s,1,0,0,0,0,0,0,0
127s,1,0,0,0,0,0,0,0
128s,1,0,0,0,0,0,0,0
129s,1,0,0,0,0,0,0,0
130s,0,0,0,0,0,1,0,0
131s,0,0,0,0,0,1,0,0
132s,0,0,0,0,0,0,0,1
133s,0,0,0,0,0,0,0,1
134s,0,0,0,0,0,0,0,1
135s,0,0,0,0,0,0,0,1
136s,0,0,0,0,0,0,0,1
137s,0,0,0,0,0,0,0,1
138s,0,0,0,0,0,0,0,1
139s,0,0,0,0,0,0,0,1
140s,0,0,0,0,0,0,0,1
141s,0,1,0,0,0,0,0,0
142s,0,1,0,0,0,0,0,0
158s,0,0,0,0,0,0,0,1
159s,0,0,0,0,0,0,0,1
160s,1,0,0,0,0,0,0,0
161s,1,0,0,0,0,0,0,0
162s,1,0,0,0,0,0,0,0
163s,0,0,0,0,0,0,0,1
164s,1,0,0,0,0,0,0,0
165s,0,0,0,0,0,0,0,1
166s,0,0,0,0,0,0,0,1
167s,0,0,0,0,0,1,0,0
168s,0,0,0,0,0,1,0,0
169s,0,0,0,0,0,0,0,1
170s,0,0,0,0,0,0,0,1
171s,0,0,0,0,0,0,0,1
172s,0,0,0,0,0,0,0,1
173s,0,0,0,0,0,0,0,1
174s,1,0,0,0,0,0,0,0
175s,0,1,0,0,0,0,0,0
176s,0,1,0,0,0,0,0,0
177s,1,0,0,0,0,0,0,0
178s,1,0,0,0,0,0,0,0
179s,1,0,0,0,0,0,0,0
180s,1,0,0,0,0,0,0,0
181s,1,0,0,0,0,0,0,0
196s,1,0,0,0,0,0,0,0
197s,0,0,0,0,0,0,0,1
198s,1,0,0,0,0,0,0,0
199s,1,0,0,0,0,0,0,0
200s,1,0,0,0,0,0,0,0
201s,0,0,0,0,0,0,0,1
202s,0,0,0,0,0,1,0,0
203s,0,0,0,0,0,1,0,0
204s,0,0,1,0,0,0,0,0
205s,0,0,0,0,0,0,0,1
206s,0,1,0,0,0,0,0,0
207s,0,0,0,0,0,0,0,1
208s,0,1,0,0,0,0,0,0
209s,0,1,0,0,0,0,0,0
210s,1,0,0,0,0,0,0,0
211s,0,1,0,0,0,0,0,0
212s,1,0,0,0,0,0,0,0
213s,0,1,0,0,0,0,0,0
214s,1,0,0,0,0,0,0,0
231s,0,1,0,0,0,0,0,0
232s,0,1,0,0,0,0,0,0
233s,0,0,0,0,0,0,0,1
234s,0,0,0,0,0,0,0,1
235s,0,0,0,0,0,0,0,1
236s,0,0,0,0,0,0,0,1
237s,0,0,0,0,0,0,0,1
238s,0,0,0,0,0,0,0,1
239s,0,0,0,0,0,0,0,1
240s,1,0,0,0,0,0,0,0
241s,1,0,0,0,0,0,0,0
242s,0,0,0,0,0,1,0,0
243s,0,0,0,0,0,1,0,0
244s,0,0,0,0,0,1,0,0
246s,0,0,0,0,0,0,0,1
247s,0,0,0,0,0,0,0,1
248s,1,0,0,0,0,0,0,0
249s,1,0,0,0,0,0,0,0
250s,1,0,0,0,0,0,0,0
251s,1,0,0,0,0,0,0,0
252s,1,0,0,0,0,0,0,0
253s,1,0,0,0,0,0,0,0
254s,0,0,0,0,0,0,0,1
255s,0,0,0,0,0,0,0,1
256s,0,0,0,0,0,0,0,1
257s,0,1,0,0,0,0,0,0
258s,0,1,0,0,0,0,0,0
275s,0,1,0,0,0,0,0,0
276s,1,0,0,0,0,0,0,0
277s,1,0,0,0,0,0,0,0
278s,1,0,0,0,0,0,0,0
279s,0,0,0,0,0,0,0,1
280s,0,0,0,0,0,0,0,1
281s,0,0,0,0,0,0,0,1
282s,0,0,0,0,0,1,0,0
283s,0,0,0,0,0,0,0,1
284s,0,0,0,0,0,0,0,1
285s,0,1,0,0,0,0,0,0
286s,1,0,0,0,0,0,0,0
287s,0,0,0,0,0,0,0,1
288s,0,1,0,0,0,0,0,0
289s,0,1,0,0,0,0,0,0
290s,0,0,0,0,0,0,1,0
291s,0,0,0,0,0,0,0,1
292s,0,0,0,0,0,0,0,1
293s,0,0,0,0,0,0,0,1
