time,start of the ball,single_player,commentators,interviews,crowd,field_view,playergathering,others
0s,0,0,0,0,0,1,0,0
1s,0,0,0,0,0,1,0,0
2s,0,1,0,0,0,0,0,0
3s,0,1,0,0,0,0,0,0
4s,0,1,0,0,0,0,0,0
5s,0,1,0,0,0,0,0,0
6s,0,1,0,0,0,0,0,0
7s,0,0,0,0,0,0,0,1
8s,0,0,0,0,0,1,0,0
9s,0,0,0,0,0,1,0,0
10s,0,0,0,0,1,0,0,0
11s,0,0,0,0,1,0,0,0
12s,0,0,0,0,0,0,0,1
13s,0,0,0,0,0,0,0,1
14s,0,0,0,0,0,0,0,1
15s,0,0,0,0,0,0,0,1
16s,0,0,0,0,0,1,0,0
17s,0,0,0,0,0,1,0,0
18s,0,0,0,0,0,1,0,0
19s,0,0,0,0,0,1,0,0
20s,0,0,0,0,0,1,0,0
21s,0,0,0,0,0,1,0,0
22s,0,0,0,0,1,0,0,0
23s,0,0,0,0,1,0,0,0
24s,0,0,0,0,1,0,0,0
25s,0,1,0,0,0,0,0,0
26s,0,1,0,0,0,0,0,0
27s,0,0,0,0,0,0,0,1
28s,0,0,0,0,0,0,0,1
29s,0,0,0,0,0,0,0,1
30s,0,0,0,0,1,0,0,0
31s,0,0,0,0,1,0,0,0
32s,0,0,0,0,1,0,0,0
33s,0,0,0,0,1,0,0,0
34s,0,0,0,0,1,0,0,0
35s,0,0,0,0,1,0,0,0
36s,0,1,0,0,0,0,0,0
37s,0,1,0,0,0,0,0,0
38s,0,0,0,0,1,0,0,0
39s,0,0,0,0,1,0,0,0
57s,0,0,0,0,1,0,0,0
58s,0,0,0,0,1,0,0,0
59s,0,0,0,0,1,0,0,0
60s,0,0,0,0,1,0,0,0
61s,0,0,0,0,1,0,0,0
62s,0,1,0,0,0,0,0,0
63s,0,1,0,0,0,0,0,0
64s,0,0,0,0,1,0,0,0
85s,0,0,0,0,0,0,0,1
86s,0,0,0,0,0,0,0,0
87s,0,0,0,0,1,0,0,0
88s,0,0,0,0,1,0,0,0
89s,0,0,0,0,1,0,0,0
90s,0,0,0,0,1,0,0,0
91s,0,0,0,0,1,0,0,0
92s,0,0,0,0,1,0,0,0
93s,0,0,0,0,1,0,0,0
94s,0,0,0,0,1,0,0,0
95s,0,0,0,0,1,0,0,0
96s,0,0,0,0,1,0,0,0
97s,0,0,0,0,1,0,0,0
98s,0,0,0,0,1,0,0,0
99s,0,0,0,0,1,0,0,0
100s,0,0,0,0,0,0,0,1
