time,start of the ball,single_player,commentators,interviews,crowd,field_view,playergathering,others
0s,0,0,1,0,0,0,0,0
1s,0,0,0,0,0,0,0,1
2s,0,0,0,0,0,0,0,1
3s,0,0,0,0,0,0,0,1
4s,0,0,0,0,0,0,0,1
5s,0,0,0,0,0,0,0,1
6s,0,0,0,0,0,0,0,1
7s,0,0,0,0,0,1,0,0
8s,0,0,0,0,0,1,0,0
9s,0,0,0,0,0,1,0,0
10s,0,0,0,0,0,1,0,0
11s,0,0,0,0,0,1,0,0
12s,0,0,0,0,0,0,0,1
13s,0,1,0,0,0,0,0,0
14s,0,1,0,0,0,0,0,0
15s,1,0,0,0,0,0,0,0
16s,1,0,0,0,0,0,0,0
17s,0,0,0,0,0,0,0,1
18s,0,0,0,0,0,0,0,1
19s,0,0,0,0,0,0,0,1
20s,0,0,0,0,0,0,0,1
21s,0,0,0,0,0,0,0,1
22s,0,0,0,0,0,0,0,1
23s,0,0,0,0,0,0,0,1
24s,0,0,0,0,0,0,0,1
25s,0,0,0,0,0,0,0,1
26s,0,0,0,0,0,0,0,1
27s,0,0,0,0,0,0,0,1
28s,0,1,0,0,0,0,0,0
29s,0,1,0,0,0,0,0,0
30s,0,1,0,0,0,0,0,0
